Group,GMV_ratio,GMV_nodes
Young,0.00042746328337285046,99958
Young,0.0009552980517037505,99905
Young,0.0021423958178662487,99786
Young,0.003331023123520666,99667
Young,0.001459208102985056,99855
Young,0.0001991279500645584,99981
Young,0.0015572263577566252,99845
Young,0.0018126811942971162,99819
Young,0.0017251613539060228,99828
Young,0.00021980358877127964,99979
Young,0.00015265767904386514,99985
Young,0.002542785520451767,99746
Young,0.004365177461099899,99564
Young,0.002928374961751433,99708
Young,0.0027105928206535308,99729
Young,0.0009209934202012171,99908
Young,0.0019265245393251282,99808
Young,0.0032443108723791097,99676
Young,0.0019881431447225754,99802
Young,0.001728306536501779,99828
Young,0.0014669673730086975,99854
Young,0.0030790906386948423,99693
Young,0.002433050283904507,99757
Young,0.00253938312009846,99747
Young,0.0005954039146191185,99941
Young,0.00033332832540238974,99967
Young,0.0046716112696762475,99533
Young,0.0019994859026494644,99801
Young,0.0008795370734526977,99913
Young,0.0019402500097404375,99806
Elderly,0.0009470808048171654,99906
Elderly,0.0001907004422832604,99981
Elderly,0.0029039064530794493,99710
Elderly,0.0028417722181260574,99716
Elderly,0.0010283905245681711,99898
Elderly,0.0028313522319306115,99717
Elderly,0.0011086271644282887,99890
Elderly,0.00022676381535354363,99978
Elderly,0.0028962893578260195,99711
Elderly,0.0013116788373346436,99869
Elderly,0.0017012169391000397,99830
Elderly,0.0037017540279083265,99630
Elderly,0.00015126806866089064,99985
Elderly,0.0038571179617132084,99615
Elderly,0.004659190445739749,99535
Elderly,0.001049049872420241,99896
Elderly,0.001036480865682299,99897
Elderly,0.001315339712808275,99869
Elderly,0.0004447642090392381,99956
Elderly,0.002592868741154113,99741
Elderly,0.003855741445220268,99615
Elderly,9.390231288042121e-05,99991
Elderly,0.00478311663441196,99522
Elderly,0.00013888382130988264,99987
Elderly,0.001128821312140814,99888
Elderly,0.0005700071455991198,99943
Elderly,0.0032371666600050086,99677
Elderly,0.0009537177455661613,99905
Elderly,6.95335010242711e-05,99994
Elderly,0.0004799168278519965,99953
