Subject,Group,LDI
1,Younger,0.33333333
2,Younger,0.19444444
3,Younger,0.44444444
4,Younger,0.55555556
5,Younger,0.16666667
6,Younger,0.0
7,Younger,-0.19444444
8,Younger,0.08333333
9,Younger,0.4722222
10,Younger,0.13888889
11,Younger,0.16666667
12,Younger,0.33333333
13,Younger,0.0
14,Younger,0.41666667
15,Younger,0.16666667
16,Younger,0.19444444
17,Younger,0.27777778
18,Younger,0.36111111
19,Younger,0.0
20,Younger,0.36111111
21,Younger,0.44444444
22,Younger,0.30555556
23,Younger,0.38888889
24,Younger,0.25
25,Younger,0.08333333
26,Younger,0.22222222
27,Younger,0.27777778
28,Younger,0.69444444
29,Younger,0.47222222
30,Younger,0.16666667
31,Younger,0.0
32,Younger,0.52777778
33,Younger,0.13888889
34,Younger,0.5
35,Elder,0.02777778
36,Elder,0.16666667
37,Elder,0.0
38,Elder,0.08333333
39,Elder,0.0
40,Elder,0.11111111
41,Elder,0.25
42,Elder,0.05555556
43,Elder,0.16666667
44,Elder,0.11111111
45,Elder,0.5
46,Elder,0.08333333
47,Elder,0.41666667
48,Elder,-0.02777778
49,Elder,0.05555556
50,Elder,0.44444444
51,Elder,0.0
52,Elder,0.22222222
53,Elder,-0.05555556
54,Elder,-0.08333333
55,Elder,0.13888889
56,Elder,0.19444444
57,Elder,0.0
58,Elder,-0.30555556
59,Elder,0.02777778
60,Elder,0.11111111
61,Elder,-0.36111111
62,Elder,0.44444444
