,Group,int_sigma_diff,Connections,,
0,Young,0.822031326,822031,,0.82
1,Young,0.977813733,977813,,0.98
2,Young,0.947749313,947749,,0.95
3,Young,0.770171222,770171,,0.77
4,Young,0.904596794,904596,,0.9
5,Young,0.956113678,956113,,0.96
6,Young,0.673084869,673084,,0.67
7,Young,0.981497004,981497,,0.98
8,Young,0.892328284,892328,,0.89
9,Young,0.894997582,894997,,0.89
10,Young,0.935411978,935411,,0.94
11,Young,0.968403856,968403,,0.97
12,Young,0.908016103,908016,,0.91
13,Young,0.761119846,761119,,0.76
14,Young,0.870542031,870542,,0.87
15,Young,0.930500429,930500,,0.93
16,Young,0.936327993,936327,,0.94
17,Young,0.973072809,973072,,0.97
18,Young,0.955745323,955745,,0.96
19,Young,0.976319159,976319,,0.98
20,Young,0.818245421,818245,,0.82
21,Young,0.946988161,946988,,0.95
22,Young,0.939011944,939011,,0.94
23,Young,0.934105124,934105,,0.93
24,Young,0.956649669,956649,,0.96
25,Young,0.966246667,966246,,0.97
26,Young,0.841771475,841771,,0.84
27,Young,0.91157315,911573,,0.91
28,Young,0.918696604,918696,,0.92
29,Young,0.782751991,782751,,0.78
30,Elderly,0.672983948,672983,,0.67
31,Elderly,0.711232374,711232,,0.71
32,Elderly,0.654022483,654022,,0.65
33,Elderly,0.811269444,811269,,0.81
34,Elderly,0.699759567,699759,,0.7
35,Elderly,0.822298153,822298,,0.82
36,Elderly,0.684421949,684421,,0.68
37,Elderly,0.843926716,843926,,0.84
38,Elderly,0.647816978,647816,,0.65
39,Elderly,0.851717417,851717,,0.85
40,Elderly,0.798361507,798361,,0.8
41,Elderly,0.861540086,861540,,0.86
42,Elderly,0.772399947,772399,,0.77
43,Elderly,0.813924497,813924,,0.81
44,Elderly,0.633862336,633862,,0.63
45,Elderly,0.807061643,807061,,0.81
46,Elderly,0.74039709,740397,,0.74
47,Elderly,0.970560135,970560,,0.97
48,Elderly,0.683715482,683715,,0.68
49,Elderly,0.739550317,739550,,0.74
50,Elderly,0.802990427,802990,,0.8
51,Elderly,0.705804806,705804,,0.71
52,Elderly,0.742164083,742164,,0.74
53,Elderly,0.80236318,802363,,0.8
54,Elderly,0.759804485,759804,,0.76
55,Elderly,0.864824112,864824,,0.86
56,Elderly,0.795621909,795621,,0.8
57,Elderly,0.742829874,742829,,0.74
58,Elderly,0.731613291,731613,,0.73
59,Elderly,0.809592746,809592,,0.81
,,,,,0
