ICA,Group,Subjs,Timelag,Timescale
DMN_1,young,1,0,1.0
DMN_1,young,1,1,0.4810836908888767
DMN_1,young,1,2,-0.17679965336575879
DMN_1,young,1,3,-0.5347155868170391
DMN_1,young,1,4,-0.4040092936029069
DMN_1,young,1,5,0.032634051173407515
DMN_1,young,1,6,0.33115092018379333
DMN_1,young,1,7,0.3301120929491038
DMN_1,young,1,8,0.07494821721588958
DMN_1,young,1,9,-0.20905095006179852
DMN_1,young,1,10,-0.31335499175670156
DMN_1,young,1,11,-0.2008145574372222
DMN_1,young,1,12,0.04177353553948834
DMN_1,young,1,13,0.19787944038003086
DMN_1,young,1,14,0.1299782246683919
DMN_1,young,1,15,-0.05990271633190543
DMN_1,young,1,16,-0.17149019444416397
DMN_1,young,1,17,-0.13023630054162225
DMN_1,young,1,18,0.0033343564164333922
DMN_1,young,1,19,0.05384993971615717
DMN_1,young,1,20,0.03750639312540109
DMN_1,young,1,21,-0.007258096268055348
DMN_1,young,1,22,-0.061500980744134376
DMN_1,young,1,23,-0.024906914729717684
DMN_1,young,1,24,0.07885057966443906
DMN_2,young,1,0,1.0
DMN_2,young,1,1,0.45172966608640475
DMN_2,young,1,2,0.0526246211728834
DMN_2,young,1,3,-0.14434661388747153
DMN_2,young,1,4,-0.09748036342431098
DMN_2,young,1,5,0.0672528198019391
DMN_2,young,1,6,0.07078683291869504
DMN_2,young,1,7,0.05528285332976499
DMN_2,young,1,8,0.02898456880344495
DMN_2,young,1,9,-0.031361518244777876
DMN_2,young,1,10,-0.03579953977318804
DMN_2,young,1,11,-0.026329142402041702
DMN_2,young,1,12,0.02440251321623957
DMN_2,young,1,13,0.12225152815733055
DMN_2,young,1,14,0.042453097231905004
DMN_2,young,1,15,-0.02808358248297118
DMN_2,young,1,16,-0.14353612133133
DMN_2,young,1,17,-0.07778723130879366
DMN_2,young,1,18,0.09336752738613974
DMN_2,young,1,19,0.08875237335268127
DMN_2,young,1,20,-0.02996531808521449
DMN_2,young,1,21,-0.08611859429909366
DMN_2,young,1,22,-0.11127168044173476
DMN_2,young,1,23,-0.04184344592656751
DMN_2,young,1,24,0.06537512277626681
DMN_3,young,1,0,1.0
DMN_3,young,1,1,0.6574893460950507
DMN_3,young,1,2,0.319463889724745
DMN_3,young,1,3,0.06847672982330591
DMN_3,young,1,4,-0.06949267244855162
DMN_3,young,1,5,-0.09984382281467147
DMN_3,young,1,6,-0.1156378854545129
DMN_3,young,1,7,-0.07145036925580293
DMN_3,young,1,8,-0.01607302915982992
DMN_3,young,1,9,-0.07675058995921481
DMN_3,young,1,10,-0.11831812215758088
DMN_3,young,1,11,-0.13920788665693268
DMN_3,young,1,12,-0.15839062120156663
DMN_3,young,1,13,-0.12364165768719405
DMN_3,young,1,14,-0.13071475050522358
DMN_3,young,1,15,-0.07864852788050451
DMN_3,young,1,16,-0.021440155751958175
DMN_3,young,1,17,-0.008609861723565536
DMN_3,young,1,18,-0.010189740842065542
DMN_3,young,1,19,-0.0739823877569391
DMN_3,young,1,20,-0.13575219232949745
DMN_3,young,1,21,-0.15171910879447856
DMN_3,young,1,22,-0.10732396121780766
DMN_3,young,1,23,-0.07260484866542816
DMN_3,young,1,24,-0.05536548212517365
DMN_4,young,1,0,1.0
DMN_4,young,1,1,0.3531756072144868
DMN_4,young,1,2,0.20795561698704035
DMN_4,young,1,3,0.16853153747450203
DMN_4,young,1,4,-0.06281394667147323
DMN_4,young,1,5,0.15812856117497393
DMN_4,young,1,6,-0.04059014099565128
DMN_4,young,1,7,-0.07476794062858033
DMN_4,young,1,8,0.10572215269146806
DMN_4,young,1,9,-0.07338278432830439
DMN_4,young,1,10,-0.06022463472367199
DMN_4,young,1,11,-0.11265675354534392
DMN_4,young,1,12,-0.13549245847070499
DMN_4,young,1,13,-0.04693255928659754
DMN_4,young,1,14,-0.1633891042598278
DMN_4,young,1,15,-0.13265685988351272
DMN_4,young,1,16,-0.05991688802083185
DMN_4,young,1,17,-0.13245484589252832
DMN_4,young,1,18,-0.023805454346612697
DMN_4,young,1,19,-0.07415058992941136
DMN_4,young,1,20,-0.06921349750075599
DMN_4,young,1,21,0.051570163790233485
DMN_4,young,1,22,0.007270353020947736
DMN_4,young,1,23,0.0927621791818196
DMN_4,young,1,24,0.06842894349590879
DMN_5,young,1,0,1.0
DMN_5,young,1,1,0.5535480675020177
DMN_5,young,1,2,0.07167131548644777
DMN_5,young,1,3,-0.13936113076436452
DMN_5,young,1,4,-0.12054205752067607
DMN_5,young,1,5,0.02438209700830559
DMN_5,young,1,6,0.06895187598345877
DMN_5,young,1,7,0.012079835665578742
DMN_5,young,1,8,-0.019082117935150158
DMN_5,young,1,9,-0.06247929430047149
DMN_5,young,1,10,-0.06349488054265173
DMN_5,young,1,11,-0.0013651702233962951
DMN_5,young,1,12,0.0638470337251701
DMN_5,young,1,13,0.094241119498465
DMN_5,young,1,14,0.01322336374707422
DMN_5,young,1,15,-0.07333211530252226
DMN_5,young,1,16,-0.0896551732389318
DMN_5,young,1,17,-0.06823242353270983
DMN_5,young,1,18,-0.04115941655819439
DMN_5,young,1,19,-0.008413649335501417
DMN_5,young,1,20,0.026509877755106725
DMN_5,young,1,21,0.030034844826939983
DMN_5,young,1,22,0.05226072378104987
DMN_5,young,1,23,0.053081406376173396
DMN_5,young,1,24,0.04796572983942633
DMN_6,young,1,0,1.0
DMN_6,young,1,1,0.5982612584928043
DMN_6,young,1,2,0.2554261248156248
DMN_6,young,1,3,0.103672680189727
DMN_6,young,1,4,0.07910158327636108
DMN_6,young,1,5,0.004281388682911879
DMN_6,young,1,6,-0.05012615203972829
DMN_6,young,1,7,-0.03572834101420037
DMN_6,young,1,8,-0.007886076747029385
DMN_6,young,1,9,-0.035861411208304585
DMN_6,young,1,10,-0.009815642691854604
DMN_6,young,1,11,0.039904625134217594
DMN_6,young,1,12,0.0365551247673371
DMN_6,young,1,13,-0.022989287407232436
DMN_6,young,1,14,-0.03518139607059868
DMN_6,young,1,15,-0.029028507580016127
DMN_6,young,1,16,-0.01867173065458564
DMN_6,young,1,17,-0.025587162120916312
DMN_6,young,1,18,-0.054627505684926185
DMN_6,young,1,19,-0.06870491981816455
DMN_6,young,1,20,-0.10623486881928698
DMN_6,young,1,21,-0.12766531967866152
DMN_6,young,1,22,-0.12352134891981695
DMN_6,young,1,23,-0.12176583497159175
DMN_6,young,1,24,-0.14619680374866467
DMN_7,young,1,0,1.0
DMN_7,young,1,1,0.21143850479848655
DMN_7,young,1,2,0.13286488553703002
DMN_7,young,1,3,0.27187004785297575
DMN_7,young,1,4,0.032071687492358794
DMN_7,young,1,5,0.22587588917206586
