Group,Subjs,Timelag,Timescale
young,1,0,1.0
young,1,1,0.7014448389300248
young,1,2,0.3585534534354403
young,1,3,0.14357317760541502
young,1,4,0.03178220670697568
young,1,5,-0.04463565861838998
young,1,6,-0.13634373654498833
young,1,7,-0.1787690992982551
young,1,8,-0.18873023940946926
young,1,9,-0.2473201138360058
young,1,10,-0.23190845208071906
young,1,11,-0.13157647547184936
young,1,12,-0.038434740066078915
young,1,13,0.000930297435163385
young,1,14,-0.016366740202489828
young,1,15,0.0019936398023472383
young,1,16,0.05215173045582247
young,1,17,0.02282634115605569
young,1,18,-0.04644664056752755
young,1,19,-0.10597391767180388
young,1,20,-0.12388936339536477
young,1,21,-0.11519531651861299
young,1,22,-0.14805430034545533
young,1,23,-0.1388652361133776
young,1,24,-0.11405459918354391
young,2,0,1.0
young,2,1,0.7273450671500958
young,2,2,0.4977105336414637
young,2,3,0.20209317924389314
young,2,4,0.1245153653331201
young,2,5,0.07975233275750417
young,2,6,0.10250777065897985
young,2,7,0.07826481092669095
young,2,8,0.06775817836730019
young,2,9,0.03677080011017081
young,2,10,0.04392347270997703
young,2,11,0.04245118449252377
young,2,12,0.06496312097046797
young,2,13,0.04132368773222249
young,2,14,0.009497091052902274
young,2,15,-0.07228420904529022
young,2,16,-0.10612744219076922
young,2,17,-0.09671263688131768
young,2,18,-0.03662070340355955
young,2,19,0.0006723353152945046
young,2,20,0.01346087226419402
young,2,21,-0.08305536988058933
young,2,22,-0.1658161359320466
young,2,23,-0.24212435097645815
young,2,24,-0.24012093269453175
young,3,0,1.0
young,3,1,0.695867083711623
young,3,2,0.21523938001059442
young,3,3,-0.09593409525671358
young,3,4,-0.178956910865961
young,3,5,-0.15800931496747614
young,3,6,-0.15580229829037698
young,3,7,-0.1834296988655331
young,3,8,-0.2080250025480191
young,3,9,-0.18396690654455847
young,3,10,-0.12223503888101303
young,3,11,-0.05167719027749815
young,3,12,0.06363360701822544
young,3,13,0.17813498343509232
young,3,14,0.24505259573512247
young,3,15,0.2010985013678439
young,3,16,0.06228324973986027
young,3,17,-0.058050321224192944
young,3,18,-0.11218275078537569
young,3,19,-0.11414452154726383
young,3,20,-0.10173573360228076
young,3,21,-0.09893279793016664
young,3,22,-0.0990834897021204
young,3,23,-0.08104960188227876
young,3,24,-0.02946190214957154
young,4,0,1.0
young,4,1,0.6601164146728441
young,4,2,0.5326222442062095
young,4,3,0.2437399584386826
young,4,4,0.26874820985496706
young,4,5,0.13390014126364794
young,4,6,0.164791670721026
young,4,7,0.02037250756470743
young,4,8,0.027695832020375663
young,4,9,-0.10820754459734591
young,4,10,-0.14010653811213183
young,4,11,-0.2371258189356014
young,4,12,-0.1749249125797485
young,4,13,-0.18353726152473984
young,4,14,-0.1131515018075228
young,4,15,-0.13302729140426445
young,4,16,-0.09688038898199679
young,4,17,-0.09707227786684877
young,4,18,-0.07341712495195767
young,4,19,-0.13112579271982
young,4,20,-0.12372396273589219
young,4,21,-0.11194836374775505
young,4,22,-0.07487313502339374
young,4,23,-0.07295568396647864
young,4,24,-0.06533188145513205
young,5,0,1.0
young,5,1,0.4969891011832717
young,5,2,0.47356631490898715
young,5,3,0.1713294500452936
young,5,4,0.15189157363068215
young,5,5,-0.06839874384207176
young,5,6,-0.05379030659008766
young,5,7,-0.1821258695699411
young,5,8,-0.10014715339927485
young,5,9,-0.18019141268524497
young,5,10,-0.08674861973409648
young,5,11,-0.15678426628640135
young,5,12,-0.03474600810748683
young,5,13,-0.0842198201283249
young,5,14,-0.08869074566311186
young,5,15,-0.11740292715598576
young,5,16,-0.11882170963623698
young,5,17,-0.1385013547496165
young,5,18,-0.18192156198083773
young,5,19,-0.22884580491437714
young,5,20,-0.1703424577051522
young,5,21,-0.14066392452790635
young,5,22,-0.08616927853494855
young,5,23,-0.09039186657929336
young,5,24,-0.0325245680123995
young,6,0,1.0
young,6,1,0.641106977611601
young,6,2,0.4256836807467683
young,6,3,0.31004496429739664
young,6,4,0.2395730921631729
young,6,5,0.1336980243862178
young,6,6,0.05658044666936411
young,6,7,-0.0110748625058112
young,6,8,0.0007011715037863794
young,6,9,-0.04058635378001546
young,6,10,-0.061147916246330404
young,6,11,-0.14458701636321458
young,6,12,-0.1378751617825613
young,6,13,-0.13873285577709654
young,6,14,-0.16211486985313273
young,6,15,-0.22602677634173013
young,6,16,-0.18962627407469212
young,6,17,-0.15649593535083747
young,6,18,-0.15114927752884624
young,6,19,-0.14929884329946524
young,6,20,-0.10670624537728257
young,6,21,-0.10316463795288153
young,6,22,-0.08678323175281825
young,6,23,-0.1265972286637007
young,6,24,-0.08359010823916284
young,7,0,1.0
young,7,1,0.8297626129806256
young,7,2,0.5636538355302063
young,7,3,0.30261340118462604
young,7,4,0.0552678379591717
young,7,5,-0.13311241659909961
young,7,6,-0.23324806033004566
young,7,7,-0.25790854318269424
young,7,8,-0.2666292882327711
young,7,9,-0.25625971096283906
young,7,10,-0.21541883396961775
young,7,11,-0.17532558577605034
young,7,12,-0.1405891081433515
young,7,13,-0.10439680043184868
young,7,14,-0.06425003392772748
young,7,15,-0.019966420177685816
young,7,16,0.025511909278367183
young,7,17,0.053387859686913945
young,7,18,0.03745486962501382
young,7,19,0.0025170032641779693
young,7,20,-0.027361578115680747
young,7,21,-0.05933441261920433
young,7,22,-0.08035763605437347
young,7,23,-0.09073624415688174
young,7,24,-0.09290850383966968
young,8,0,1.0
young,8,1,0.740706795994609
young,8,2,0.5027836971702465
young,8,3,0.3515867725288608
young,8,4,0.2777572893856651
young,8,5,0.18391430829170366
young,8,6,0.054621795331918
young,8,7,-0.013568730911567517
young,8,8,-0.05454018095729056
young,8,9,-0.12875317818545362
young,8,10,-0.14160763684461863
young,8,11,-0.1312491042732551
young,8,12,-0.12367158208549915
young,8,13,-0.13354954644880887
young,8,14,-0.18720316057035438
young,8,15,-0.21218083836999438
young,8,16,-0.21693929057407116
young,8,17,-0.1952310679674509
young,8,18,-0.18305867675510262
young,8,19,-0.1443257462282669
young,8,20,-0.10848786382257956
young,8,21,-0.10991346078122696
young,8,22,-0.08154130711681788
young,8,23,-0.05843758668637788
young,8,24,-0.062475945564727006
young,9,0,1.0
young,9,1,0.4407235737713862
young,9,2,0.5362891613074385
young,9,3,0.1940022416441824
young,9,4,0.07499378687443475
young,9,5,-0.017847958225261334
young,9,6,-0.20847884609821948
young,9,7,-0.10633914069033867
young,9,8,-0.26230480052517374
young,9,9,-0.12235056037549996
young,9,10,-0.178864744753582
young,9,11,-0.13569742367515905
young,9,12,-0.17285238885372797
young,9,13,-0.1032029299337187
young,9,14,-0.10990116788464964
young,9,15,-0.02249030425584172
young,9,16,-0.07627168194801909
young,9,17,-0.0140538869292423
young,9,18,-0.06138106273604754
young,9,19,-0.04721433893026771
