Group,ICA,Timescale
young,DMN_1,1.3349070139685035
young,DMN_2,1.4483995241492507
young,DMN_3,2.5043834154714832
young,DMN_4,1.8795998525323088
young,DMN_5,1.676848358462492
young,DMN_6,2.5232980391201987
young,DMN_7,2.7999744647931535
young,DMN_8,0.8355646406267129
young,DMN_9,0.48724251607686053
young,DMN_10,2.7957036968791242
young,DMN_11,5.552277526307584
young,SMN_1,4.7760480602564925
young,SMN_2,5.32974323781257
young,SMN_3,1.3382121558837008
young,SMN_4,1.3585774003453084
young,SMN_5,1.138109711184317
young,SMN_6,1.4231986339359526
young,VIS_1,3.123979676122118
young,VIS_2,3.8901940114972784
young,VIS_3,2.08996829119776
young,VIS_4,3.5208246664990726
young,VIS_5,1.2572977849570572
young,VIS_6,3.9154466691480536
young,VIS_7,0.3824459655091733
young,VIS_8,1.1418684218127169
young,VIS_9,2.893464616172675
young,VIS_10,3.907840205685689
young,VIS_11,1.2753382637514477
young,VIS_12,1.4636565381540874
young,SC_1,0.4525792350153135
young,SC_2,3.3782130722205572
young,SC_3,0.9309601477352232
young,SC_4,2.3892008234421174
young,SC_5,2.3637476404255553
young,SC_6,0.8898577709803946
young,SC_7,3.206981054086807
young,CC_1,4.749938184170979
young,CC_2,1.3588967327973447
young,CC_3,1.0494683001952474
young,CC_4,4.277614533421195
young,CC_5,2.9581613545510788
young,CC_6,3.1337482051604613
young,CC_7,2.5837554844309283
young,CC_8,1.2787248305075711
young,CC_9,0.9861406555544416
young,CC_10,1.1672622837846363
young,CC_11,3.2067571241905104
young,CC_12,0.9946918967064102
young,CC_13,1.1783910932652417
young,CC_14,2.8021911408690015
young,CC_15,0.8790561471169065
young,CC_16,2.5540709023805457
young,CC_17,1.680461569834681
young,CC_18,4.145618643211187
young,AUD_1,4.522745634716348
young,AUD_2,3.0440205743820705
young,AUD_3,1.0055453272366899
young,AUD_4,2.8701719656634017
young,AUD_5,1.3273086515719064
young,AUD_6,1.0809992417878873
young,DMN_1,3.1538779977931948
young,DMN_2,1.8399754709093923
young,DMN_3,5.246790865036018
young,DMN_4,5.019019551925195
young,DMN_5,2.2659523948595672
young,DMN_6,4.244356501212234
young,DMN_7,2.201210854617005
young,DMN_8,1.7205327477069328
young,DMN_9,0.9775417201559915
young,DMN_10,1.565200961080555
young,DMN_11,3.9491782513372296
young,SMN_1,5.844267842132482
young,SMN_2,3.0335252768410896
young,SMN_3,2.8107274036929595
young,SMN_4,4.211642477214951
young,SMN_5,1.8917915332187474
young,SMN_6,2.147054706114235
young,VIS_1,5.307235073836817
young,VIS_2,3.190588801085079
young,VIS_3,4.864126296085658
young,VIS_4,2.125500742846754
young,VIS_5,2.8518041390660724
young,VIS_6,2.234242710835354
young,VIS_7,1.5176638373278852
young,VIS_8,2.125257939161945
young,VIS_9,4.632342531362478
young,VIS_10,4.6430982393098095
young,VIS_11,6.756707861410005
young,VIS_12,2.554170228849547
young,SC_1,0.4775776546862327
young,SC_2,4.719494400181532
young,SC_3,3.8547976846076573
young,SC_4,3.641021809075554
young,SC_5,2.1885748867410495
young,SC_6,2.0768179804243667
young,SC_7,1.8262502596358894
young,CC_1,4.865775330561712
young,CC_2,4.218401857507149
young,CC_3,1.2146156384903926
young,CC_4,4.179837134506982
young,CC_5,8.945853914559397
young,CC_6,4.281502474273541
young,CC_7,2.3412049352649267
young,CC_8,1.1677438319707716
young,CC_9,4.772027070700583
young,CC_10,3.2328473588776268
young,CC_11,2.198258696462202
young,CC_12,2.1851332250811124
young,CC_13,2.486335450223679
young,CC_14,2.561647009018501
young,CC_15,1.856291854906725
young,CC_16,1.8864135119375063
young,CC_17,6.4911109065731
young,CC_18,5.542460270900527
young,AUD_1,2.102323735753405
young,AUD_2,3.2178507068369533
young,AUD_3,3.102289617592865
young,AUD_4,3.418907843856922
young,AUD_5,2.727884400988932
young,AUD_6,3.1904586004346345
young,DMN_1,2.02649483267958
young,DMN_2,4.064698972594615
young,DMN_3,1.5121663395211542
young,DMN_4,3.303215433089219
young,DMN_5,1.6816520266405046
young,DMN_6,2.628121024950888
young,DMN_7,3.2784962236907496
young,DMN_8,1.6691046011547384
young,DMN_9,1.335458522092976
young,DMN_10,2.1268946309650696
young,DMN_11,1.5130923682499784
young,SMN_1,2.2183103888470295
young,SMN_2,1.7302966276280172
young,SMN_3,2.097100454903875
young,SMN_4,4.062188222915149
young,SMN_5,1.959604298257531
young,SMN_6,2.0741599608295673
