Group,ICA,Timescale
young,DMN,2.1671090043988794
young,SMN,2.560648199903057
young,VIS,2.4051937592089274
young,SC,1.9445056777008527
young,CC,2.276941615674909
young,AUD,2.3084652325597173
young,DMN,2.9257852106030287
young,SMN,3.3231682065357444
young,VIS,3.566894866764784
young,SC,2.683504953621754
young,CC,3.5793033595453574
young,AUD,2.9599524842439515
young,DMN,2.285399543239043
young,SMN,2.3569433255635284
young,VIS,1.9342692813495308
young,SC,2.9439428574217508
young,CC,2.7053047918989597
young,AUD,2.7274703980355834
young,DMN,2.032202878167266
young,SMN,2.4266825167804233
young,VIS,2.246018165924246
young,SC,1.4359672919861042
young,CC,2.011030438089347
young,AUD,1.3143763249773455
young,DMN,0.8488695984961763
young,SMN,1.0372950226343212
young,VIS,1.4321883820696553
young,SC,1.5734568990774072
young,CC,0.9006258215351524
young,AUD,1.094624991378016
young,DMN,2.849817657796111
young,SMN,4.558325965081707
young,VIS,4.209320208060459
young,SC,3.4659741888395774
young,CC,3.082437689423991
young,AUD,2.5967935085761753
young,DMN,2.321803045734942
young,SMN,2.2274429291928453
young,VIS,2.794221856813343
young,SC,2.6517191665406528
young,CC,2.840640663032344
young,AUD,2.441414111984781
young,DMN,2.2192419962384773
young,SMN,2.193720102860304
young,VIS,3.029865198336703
young,SC,2.9449257110234646
young,CC,2.7628013893667234
young,AUD,2.799360811222229
young,DMN,1.930008959910245
young,SMN,2.284942786157075
young,VIS,1.9576332129417746
young,SC,1.8368772631059749
young,CC,1.7494865600973064
young,AUD,1.5556102651293688
young,DMN,1.8507000234035293
young,SMN,2.101551433597318
young,VIS,2.5087091609451733
young,SC,2.1763697426931383
young,CC,2.081797482635401
young,AUD,1.950888605439258
young,DMN,2.153430568483576
young,SMN,2.57547452918803
young,VIS,3.5928109510657293
young,SC,2.8551750370938174
young,CC,2.756744346830203
young,AUD,2.7579353538558884
young,DMN,2.2617097966577977
young,SMN,3.6732555267249953
young,VIS,3.3396436623474486
young,SC,3.2647078391413737
young,CC,2.654745174129536
young,AUD,3.252784663423252
young,DMN,2.6038020449430834
young,SMN,2.494974743883685
young,VIS,2.271748347372091
young,SC,2.519303231217159
young,CC,2.4528429350231216
young,AUD,2.1711050932439298
young,DMN,2.2236890016430366
young,SMN,2.1571133837875665
young,VIS,2.9286910550924143
young,SC,2.1128319549452326
young,CC,2.1202980406954777
young,AUD,1.8264028719621954
young,DMN,1.2166691347095906
young,SMN,1.8011968236310494
young,VIS,1.8195701842757277
young,SC,2.3058083806127714
young,CC,1.6138344002187366
young,AUD,0.8129599270840638
young,DMN,1.7844247280752306
young,SMN,1.2293802562293756
